Profession,Year,No. of Emigrants
Manager,2022,18093
Manager,2023,9220
Mason,1981,11757
Mason,1982,10563
Mason,1983,9219
Mason,1984,7184
Mason,1985,6324
Mason,1986,4455
Mason,1987,5083
Mason,1988,6263
Mason,1989,7364
Mason,1990,8739
Mason,1991,10969
Mason,1992,14708
Mason,1993,11868
Mason,1994,8520
Mason,1995,8990
Mason,1996,9188
Mason,1997,11446
Mason,1998,7735
Mason,1999,5998
Mason,2000,8274
Mason,2001,9825
Mason,2002,11323
Mason,2003,16439
Mason,2004,13350
Mason,2005,10916
Mason,2006,14070
Mason,2007,22045
Mason,2008,33050
Mason,2009,30992
Mason,2010,27872
Mason,2011,35328
Mason,2012,54493
Mason,2013,44170
Mason,2014,50677
Mason,2015,62945
Mason,2016,61037
Mason,2017,23986
Mason,2018,17130
Mason,2019,19609
Mason,2020,4973
Mason,2021,9123
Mason,2022,34694
Mason,2023,6329
Mechanic,1981,4179
Mechanic,1982,3755
Mechanic,1983,3277
Mechanic,1984,2554
Mechanic,1985,2248
Mechanic,1986,1583
Mechanic,1987,1807
Mechanic,1988,2226
Mechanic,1989,2617
Mechanic,1990,3106
Mechanic,1991,3899
Mechanic,1992,5228
Mechanic,1993,4220
Mechanic,1994,3029
Mechanic,1995,3195
Mechanic,1996,3267
Mechanic,1997,4068
Mechanic,1998,2749
Mechanic,1999,2132
Mechanic,2000,2941
Mechanic,2001,3492
Mechanic,2002,4025
Mechanic,2003,5843
Mechanic,2004,4745
Mechanic,2005,3880
Mechanic,2006,5001
Mechanic,2007,7836
Mechanic,2008,11747
Mechanic,2009,11016
Mechanic,2010,9907
Mechanic,2011,13139
Mechanic,2012,12099
Mechanic,2013,14829
Mechanic,2014,15467
Mechanic,2015,22465
Mechanic,2016,16658
Mechanic,2017,11830
Mechanic,2018,8595
Mechanic,2019,9006
Mechanic,2020,2188
Mechanic,2021,4887
Mechanic,2022,11147
Mechanic,2023,2617
Nurse,1981,184
Nurse,1982,165
Nurse,1983,144
Nurse,1984,112
Nurse,1985,99
Nurse,1986,70
Nurse,1987,79
Nurse,1988,98
Nurse,1989,115
Nurse,1990,137
Nurse,1991,171
Nurse,1992,230
Nurse,1993,186
Nurse,1994,133
Nurse,1995,141
Nurse,1996,144
Nurse,1997,179
Nurse,1998,121
Nurse,1999,93
Nurse,2000,129
Nurse,2001,154
Nurse,2002,176
Nurse,2003,257
Nurse,2004,209
Nurse,2005,170
Nurse,2006,219
Nurse,2007,345
Nurse,2008,517
Nurse,2009,485
Nurse,2010,436
Nurse,2011,131
Nurse,2012,449
Nurse,2013,315
Nurse,2014,251
Nurse,2015,223
Nurse,2016,271
Nurse,2017,293
Nurse,2018,177
Nurse,2019,337
Nurse,2020,421
Nurse,2021,1788
Nurse,2022,1768
Nurse,2023,865
