Origin Country,Origin Country Latitude,Origin Country Longitude,Destination Region,Destination Country,Dest. Country Latitude,Dest. Country Longitude,Year,No. of Emigrants
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1998,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,1999,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2000,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2001,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2002,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2003,2
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2004,2
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2005,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2006,2
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2007,3
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2008,4
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2009,4
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2010,3
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2011,15
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2012,0
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2013,0
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2014,3
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2015,2
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2016,0
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2017,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2018,4
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2019,33
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2020,1
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2021,0
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2022,6
Pakistan,30.375321,69.345116,Africa,Cameroon,7.369722,12.354722,2023,0
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1981,49
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1982,44
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1983,38
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1984,30
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1985,26
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1986,19
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1987,21
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1988,26
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1989,31
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1990,36
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1991,46
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1992,61
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1993,50
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1994,36
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1995,38
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1996,38
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1997,48
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1998,32
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,1999,25
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2000,35
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2001,41
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2002,47
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2003,69
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2004,56
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2005,46
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2006,59
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2007,92
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2008,138
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2009,129
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2010,116
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2011,180
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2012,220
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2013,155
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2014,254
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2015,355
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2016,482
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2017,457
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2018,854
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2019,1252
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2020,298
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2021,607
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2022,673
Pakistan,30.375321,69.345116,East Asia,China,35.86166,104.195397,2023,430
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1981,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1982,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1983,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1984,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1985,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1986,0
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1987,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1988,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1989,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1990,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1991,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1992,2
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1993,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1994,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1995,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1996,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1997,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1998,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,1999,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2000,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2001,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2002,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2003,2
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2004,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2005,1
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2006,2
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2007,2
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2008,4
Pakistan,30.375321,69.345116,Europe,Croatia,45.1,15.2,2009,3
